student_id,attendance_percentage,assignment_average,exam_score,previous_exam_score,study_hours,weak_subject_count,risk_level
1,95,90,92,88,12,0,LOW
2,88,84,86,82,10,0,LOW
3,82,78,80,79,8,1,LOW
4,75,72,68,70,7,1,MEDIUM
5,70,65,62,68,6,2,MEDIUM
6,65,58,55,60,5,2,MEDIUM
7,60,52,48,55,4,2,HIGH
8,55,45,42,51,3,3,HIGH
9,50,40,38,47,2,3,HIGH
10,92,88,90,87,11,0,LOW
11,85,80,84,81,9,0,LOW
12,78,74,73,76,7,1,MEDIUM
13,68,60,58,65,5,2,MEDIUM
14,62,55,50,59,4,2,HIGH
15,58,48,44,52,3,3,HIGH
16,96,93,95,91,14,0,LOW
17,89,86,88,84,11,0,LOW
18,80,76,75,78,8,1,LOW
19,73,68,64,70,6,1,MEDIUM
20,67,61,57,63,5,2,MEDIUM
21,61,50,49,56,4,2,HIGH
22,57,46,43,50,3,3,HIGH
23,94,91,93,90,13,0,LOW
24,86,82,85,80,10,0,LOW
25,76,70,69,73,7,1,MEDIUM
26,69,63,60,67,5,2,MEDIUM
27,64,56,52,58,4,2,HIGH
28,53,44,40,48,2,3,HIGH
29,90,87,89,85,12,0,LOW
30,72,66,63,69,6,1,MEDIUM
